year,block,main_plot,fym_factor_level,rotation_type,rotation_factor_level,johnston_rotation_code,bulk_density,percent_soc,percent_n,note_id
1972,4,58,none,ley_arable,L,LN3,1.388,1.391,*,5.000
1972,4,59,FYM,ley_arable,Lu,LC3,1.388,1.384,*,5.000
1972,4,60,none,ley_arable,Lu,LC3,1.388,1.370,*,5.000
1972,4,61,none,alternating,Lu/Ar,LN8,1.508,0.987,*,5.000
1972,4,62,FYM,alternating,Lu/Ar,LN8,1.508,1.162,*,5.000
1972,4,63,FYM,arable,Ar,AF,1.508,1.093,*,5.000
1972,4,64,none,arable,Ar,AF,1.508,1.092,*,5.000
1973,2,17,none,arable,Ah,AB,1.508,0.883,*,5.000
1973,2,18,FYM,arable,Ah,AB,1.508,0.912,*,5.000
1973,2,19,none,arable,Ar,AF,1.508,0.852,*,5.000
1973,2,20,FYM,arable,Ar,AF,1.508,1.119,*,5.000
1973,2,21,FYM,alternating,Ah/L,LC8,1.508,0.904,*,5.000
1973,2,22,none,alternating,Ah/L,LC8,1.508,0.875,*,5.000
